gene,IR1_S64_L001,IR1_S64_L002,IR2_S65_L001,IR2_S65_L002,IR3_S66_L001,IR3_S66_L002,IR4_S67_L001,IR4_S67_L002,IR5_S68_L001,IR5_S68_L002,IR6_S69_L001,IR6_S69_L002,IR7_S70_L001,IR7_S70_L002,IR8_S71_L001,IR8_S71_L002,IR9_S72_L001,IR9_S72_L002,RN1_S55_L001,RN1_S55_L002,RN2_S56_L001,RN2_S56_L002,RN3_S57_L001,RN3_S57_L002,RN4_S58_L001,RN4_S58_L002,RN5_S59_L001,RN5_S59_L002,RN6_S60_L001,RN6_S60_L002,RN7_S61_L001,RN7_S61_L002,RN8_S62_L001,RN8_S62_L002,RN9_S63_L001,RN9_S63_L002
LOC_Os12g43363.MSUR7,11,21,18,10,21,22,4,4,4,0,0,0,25,24,30,26,26,28,13,11,13,10,14,10,13,5,9,0,14,9,25,18,26,24,11,13
LOC_Os12g43380.MSUR7,31,39,39,43,50,46,10,8,5,10,10,11,19,23,42,52,23,18,102,115,110,130,135,108,56,54,52,58,45,34,21,13,14,14,4,4
LOC_Os12g43510.MSUR7,14,12,0,18,30,32,0,11,14,10,9,0,44,58,57,55,34,34,11,14,10,12,0,19,38,41,22,34,29,39,72,69,107,124,36,37
LOC_Os12g43670.MSUR7,12,0,16,14,19,14,0,0,12,0,0,0,27,26,20,30,25,22,6,6,10,7,10,9,13,9,10,13,15,7,21,17,51,29,19,12
LOC_Os12g44350.MSUR7,91,88,79,75,100,108,95,85,89,89,109,115,22,23,19,20,18,24,82,102,79,86,60,78,200,191,156,153,166,160,48,93,100,105,59,62
LOC_Os01g03380.MSUR7,3,2,5,6,3,5,8,3,4,9,3,6,6,4,10,6,7,4,0,1,3,3,3,3,3,12,3,3,3,3,3,3,2,0,0,0
LOC_Os01g68300.MSUR7,5,10,5,10,8,16,14,7,5,9,8,4,0,2,0,0,0,0,14,12,14,13,14,19,35,46,45,48,49,38,3,2,2,2,0,7
LOC_Os01g69840.MSUR7,10,16,8,9,3,8,3,5,7,8,2,0,4,4,3,8,5,2,0,5,4,0,3,3,5,4,11,4,10,7,2,4,2,3,0,3
LOC_Os10g27430.MSUR7,10,8,5,11,4,5,3,9,6,7,4,7,5,7,12,13,1,5,2,6,11,9,15,9,15,19,7,5,6,19,0,0,0,3,0,1
LOC_Os10g28240.MSUR7,2,3,3,3,6,5,5,5,0,0,2,2,11,9,3,9,2,11,7,8,3,3,6,9,6,1,5,2,0,2,3,2,5,3,0,0
LOC_Os11g14000.MSUR7,8,10,7,12,7,8,8,8,11,6,7,5,3,4,3,4,0,2,4,5,6,6,3,3,10,8,0,5,8,12,4,5,0,3,0,14
LOC_Os11g47600.MSUR7,2,7,4,5,6,5,0,0,2,0,2,0,8,14,12,15,4,2,13,8,11,10,13,8,14,7,4,5,7,7,7,5,14,12,0,4
LOC_Os02g36030.MSUR7,19,10,9,11,13,12,9,12,7,14,6,26,14,9,2,3,19,11,15,16,7,11,8,15,2,10,7,8,5,4,0,2,0,0,0,2
LOC_Os03g19940.MSUR7,17,9,25,13,9,13,11,10,7,8,12,12,4,2,10,7,9,12,4,2,3,6,7,9,8,6,10,9,10,10,4,3,0,3,0,0
LOC_Os03g47270.MSUR7,104,91,85,83,88,71,60,67,80,63,60,47,68,76,42,52,73,78,2,9,7,3,4,11,9,10,6,8,12,13,6,0,5,2,0,3
LOC_Os04g10530.MSUR7,13,14,9,8,17,16,9,15,14,13,10,0,10,7,4,4,0,3,9,9,24,7,18,17,9,7,9,10,9,13,7,0,7,8,0,0
LOC_Os04g40680.MSUR7,17,10,20,15,14,26,7,2,2,10,5,7,67,52,57,65,69,48,5,11,21,21,12,27,14,13,8,13,15,13,16,15,29,25,0,8
LOC_Os06g39716.MSUR7,6,9,9,6,9,9,4,6,6,8,6,6,2,2,0,4,4,3,7,4,13,10,7,9,6,7,4,6,8,5,3,0,0,0,0,2
